[2025-07-10 14:19:34.717]  mA
[2025-07-10 14:19:50.651] Set: 81 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:50.851] Set: 86 V,  HV: 1 V,  I: -0.00 mA
[2025-07-10 14:19:51.057] Set: -13 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:51.258] Set: -12 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:51.458] Set: -12 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:51.661] Set: 55 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:19:51.858] Set: 53 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:19:52.063] Set: 57 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:52.269] Set: 47 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:19:52.462] Set: 37 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:52.669] Set: 41 V,  HV: -1 V,  I: 0.00 mA
[2025-07-10 14:19:52.876] Set: -11 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:53.076] Set: -3 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:53.275] Set: -8 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:53.480] Set: 60 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:53.675] Set: 72 V,  HV: -0 V,  I: -0.00 mA
[2025-07-10 14:19:53.875] Set: 66 V,  HV: -0 V,  I: -0.00 mA
[2025-07-10 14:19:54.085] Set: 16 V,  HV: -0 V,  I: -0.00 mA
[2025-07-10 14:19:54.288] Set: 19 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:54.488] Set: 15 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:54.691] Set: 28 V,  HV: 1 V,  I: 0.01 mA
[2025-07-10 14:19:54.894] Set: 24 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:55.095] Set: 32 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:55.300] Set: 88 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:19:55.501] Set: 89 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:55.701] Set: 85 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:55.906] Set: 10 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:56.108] Set: -3 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:56.308] Set: 5 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:56.508] Set: 36 V,  HV: 0 V,  I: 0.01 mA
[2025-07-10 14:19:56.713] Set: 45 V,  HV: 0 V,  I: 0.01 mA
[2025-07-10 14:19:56.908] Set: 41 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:57.110] Set: 59 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:57.318] Set: 64 V,  HV: 1 V,  I: 0.00 mA
[2025-07-10 14:19:57.520] Set: 53 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:19:57.725] Set: -9 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:57.924] Set: -11 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:58.127] Set: -4 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:58.331] Set: 66 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:58.525] Set: 60 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:58.730] Set: 73 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:58.936] Set: 32 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:59.136] Set: 24 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:59.335] Set: 28 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:19:59.544] Set: 21 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:59.744] Set: 29 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:19:59.945] Set: 25 V,  HV: -0 V,  I: 0.01 mA
[2025-07-10 14:20:00.154] Set: 81 V,  HV: 0 V,  I: -0.00 mA
[2025-07-10 14:20:00.350] Set: 85 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:00.548] Set: 75 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:00.754] Set: 0 V,  HV: -0 V,  I: 0.00 mA
[2025-07-10 14:20:00.957] Set: 7 V,  HV: 0 V,  I: 0.00 mA
[2025-07-10 14:20:01.158] Set: -6 V,  HV: 0 V,  I: 0.00 mA
