[2025-06-10 17:39:34.857] High voltage power supply Monitoring with ADS1115 Test
[2025-06-10 17:39:51.551] Set: 367 V,  HV: 365 V,  I: 3.36 mA
[2025-06-10 17:39:51.764] Set: 366 V,  HV: 350 V,  I: 3.39 mA
[2025-06-10 17:39:51.953] Set: 384 V,  HV: 372 V,  I: 3.33 mA
[2025-06-10 17:39:52.166] Set: 497 V,  HV: 404 V,  I: 2.95 mA
[2025-06-10 17:39:52.369] Set: 486 V,  HV: 392 V,  I: 2.85 mA
[2025-06-10 17:39:52.567] Set: 498 V,  HV: 403 V,  I: 2.89 mA
[2025-06-10 17:39:52.770] Set: 422 V,  HV: 340 V,  I: 3.03 mA
[2025-06-10 17:39:52.969] Set: 407 V,  HV: 356 V,  I: 3.09 mA
[2025-06-10 17:39:53.169] Set: 414 V,  HV: 348 V,  I: 3.05 mA
[2025-06-10 17:39:53.381] Set: 378 V,  HV: 407 V,  I: 3.22 mA
[2025-06-10 17:39:53.583] Set: 380 V,  HV: 408 V,  I: 3.24 mA
[2025-06-10 17:39:53.779] Set: 387 V,  HV: 408 V,  I: 3.21 mA
[2025-06-10 17:39:53.985] Set: 496 V,  HV: 398 V,  I: 2.73 mA
[2025-06-10 17:39:54.186] Set: 507 V,  HV: 403 V,  I: 2.75 mA
[2025-06-10 17:39:54.386] Set: 495 V,  HV: 394 V,  I: 2.71 mA
[2025-06-10 17:39:54.594] Set: 385 V,  HV: 359 V,  I: 3.15 mA
[2025-06-10 17:39:54.788] Set: 385 V,  HV: 353 V,  I: 3.13 mA
[2025-06-10 17:39:54.996] Set: 393 V,  HV: 363 V,  I: 3.18 mA
[2025-06-10 17:39:55.195] Set: 409 V,  HV: 414 V,  I: 3.18 mA
[2025-06-10 17:39:55.404] Set: 435 V,  HV: 407 V,  I: 3.12 mA
[2025-06-10 17:39:55.602] Set: 423 V,  HV: 410 V,  I: 3.14 mA
[2025-06-10 17:39:55.804] Set: 492 V,  HV: 379 V,  I: 2.75 mA
[2025-06-10 17:39:56.003] Set: 487 V,  HV: 365 V,  I: 2.84 mA
[2025-06-10 17:39:56.203] Set: 495 V,  HV: 372 V,  I: 2.80 mA
[2025-06-10 17:39:56.410] Set: 362 V,  HV: 351 V,  I: 3.26 mA
[2025-06-10 17:39:56.603] Set: 376 V,  HV: 357 V,  I: 3.33 mA
[2025-06-10 17:39:56.810] Set: 378 V,  HV: 352 V,  I: 3.40 mA
[2025-06-10 17:39:57.019] Set: 435 V,  HV: 402 V,  I: 3.10 mA
[2025-06-10 17:39:57.210] Set: 434 V,  HV: 415 V,  I: 3.13 mA
[2025-06-10 17:39:57.410] Set: 449 V,  HV: 396 V,  I: 3.07 mA
[2025-06-10 17:39:57.621] Set: 484 V,  HV: 357 V,  I: 2.85 mA
[2025-06-10 17:39:57.820] Set: 488 V,  HV: 366 V,  I: 2.81 mA
[2025-06-10 17:39:58.020] Set: 482 V,  HV: 353 V,  I: 2.86 mA
[2025-06-10 17:39:58.218] Set: 353 V,  HV: 347 V,  I: 3.35 mA
[2025-06-10 17:39:58.419] Set: 377 V,  HV: 356 V,  I: 3.40 mA
[2025-06-10 17:39:58.626] Set: 370 V,  HV: 346 V,  I: 3.40 mA
[2025-06-10 17:39:58.823] Set: 474 V,  HV: 402 V,  I: 3.05 mA
[2025-06-10 17:39:59.034] Set: 476 V,  HV: 398 V,  I: 3.01 mA
[2025-06-10 17:39:59.234] Set: 475 V,  HV: 401 V,  I: 3.03 mA
[2025-06-10 17:39:59.438] Set: 469 V,  HV: 335 V,  I: 2.92 mA
[2025-06-10 17:39:59.639] Set: 457 V,  HV: 344 V,  I: 2.98 mA
[2025-06-10 17:39:59.840] Set: 464 V,  HV: 343 V,  I: 2.93 mA
[2025-06-10 17:40:00.040] Set: 366 V,  HV: 373 V,  I: 3.31 mA
[2025-06-10 17:40:00.241] Set: 376 V,  HV: 369 V,  I: 3.34 mA
[2025-06-10 17:40:00.439] Set: 377 V,  HV: 382 V,  I: 3.29 mA
[2025-06-10 17:40:00.652] Set: 487 V,  HV: 393 V,  I: 2.86 mA
[2025-06-10 17:40:00.851] Set: 499 V,  HV: 405 V,  I: 2.89 mA
[2025-06-10 17:40:01.053] Set: 486 V,  HV: 391 V,  I: 2.81 mA
[2025-06-10 17:40:01.255] Set: 404 V,  HV: 351 V,  I: 3.08 mA
[2025-06-10 17:40:01.454] Set: 413 V,  HV: 348 V,  I: 3.05 mA
[2025-06-10 17:40:01.654] Set: 400 V,  HV: 359 V,  I: 3.11 mA
[2025-06-10 17:40:01.858] Set: 377 V,  HV: 403 V,  I: 3.26 mA
[2025-06-10 17:40:02.063] Set: 391 V,  HV: 419 V,  I: 3.21 mA
[2025-06-10 17:40:02.263] Set: 378 V,  HV: 412 V,  I: 3.22 mA
[2025-06-10 17:40:02.470] Set: 503 V,  HV: 403 V,  I: 2.74 mA
[2025-06-10 17:40:02.669] Set: 494 V,  HV: 395 V,  I: 2.73 mA
[2025-06-10 17:40:02.871] Set: 507 V,  HV: 402 V,  I: 2.72 mA
[2025-06-10 17:40:03.076] Set: 381 V,  HV: 361 V,  I: 3.20 mA
[2025-06-10 17:40:03.273] Set: 377 V,  HV: 352 V,  I: 3.16 mA
[2025-06-10 17:40:03.468] Set: 382 V,  HV: 362 V,  I: 3.25 mA
[2025-06-10 17:40:03.668] Set: 426 V,  HV: 403 V,  I: 3.12 mA
[2025-06-10 17:40:03.883] Set: 428 V,  HV: 420 V,  I: 3.14 mA
[2025-06-10 17:40:04.082] Set: 444 V,  HV: 398 V,  I: 3.09 mA
[2025-06-10 17:40:04.290] Set: 487 V,  HV: 366 V,  I: 2.82 mA
[2025-06-10 17:40:04.488] Set: 496 V,  HV: 374 V,  I: 2.77 mA
[2025-06-10 17:40:04.687] Set: 486 V,  HV: 356 V,  I: 2.85 mA
[2025-06-10 17:40:04.889] Set: 357 V,  HV: 349 V,  I: 3.34 mA
[2025-06-10 17:40:05.095] Set: 380 V,  HV: 356 V,  I: 3.38 mA
[2025-06-10 17:40:05.294] Set: 370 V,  HV: 345 V,  I: 3.37 mA
[2025-06-10 17:40:05.501] Set: 467 V,  HV: 400 V,  I: 3.06 mA
[2025-06-10 17:40:05.699] Set: 472 V,  HV: 401 V,  I: 3.02 mA
[2025-06-10 17:40:05.902] Set: 474 V,  HV: 401 V,  I: 3.05 mA
[2025-06-10 17:40:06.103] Set: 471 V,  HV: 340 V,  I: 2.90 mA
[2025-06-10 17:40:06.304] Set: 465 V,  HV: 345 V,  I: 2.96 mA
[2025-06-10 17:40:06.504] Set: 438 V,  HV: 349 V,  I: 3.01 mA
[2025-06-10 17:40:06.712] Set: 371 V,  HV: 357 V,  I: 3.40 mA
[2025-06-10 17:40:06.905] Set: 370 V,  HV: 348 V,  I: 3.39 mA
[2025-06-10 17:40:07.107] Set: 382 V,  HV: 354 V,  I: 3.38 mA
[2025-06-10 17:40:07.319] Set: 473 V,  HV: 393 V,  I: 3.02 mA
[2025-06-10 17:40:07.517] Set: 480 V,  HV: 405 V,  I: 3.03 mA
[2025-06-10 17:40:07.715] Set: 472 V,  HV: 388 V,  I: 2.99 mA
[2025-06-10 17:40:07.921] Set: 444 V,  HV: 333 V,  I: 2.97 mA
[2025-06-10 17:40:08.122] Set: 429 V,  HV: 350 V,  I: 3.04 mA
[2025-06-10 17:40:08.322] Set: 435 V,  HV: 345 V,  I: 3.01 mA
[2025-06-10 17:40:08.520] Set: 360 V,  HV: 360 V,  I: 3.34 mA
[2025-06-10 17:40:08.721] Set: 380 V,  HV: 385 V,  I: 3.28 mA
[2025-06-10 17:40:08.929] Set: 363 V,  HV: 368 V,  I: 3.32 mA
[2025-06-10 17:40:09.128] Set: 499 V,  HV: 405 V,  I: 2.88 mA
[2025-06-10 17:40:09.335] Set: 488 V,  HV: 392 V,  I: 2.81 mA
[2025-06-10 17:40:09.535] Set: 506 V,  HV: 403 V,  I: 2.85 mA
[2025-06-10 17:40:09.741] Set: 385 V,  HV: 355 V,  I: 3.12 mA
[2025-06-10 17:40:09.939] Set: 395 V,  HV: 354 V,  I: 3.12 mA
[2025-06-10 17:40:10.141] Set: 392 V,  HV: 362 V,  I: 3.13 mA
[2025-06-10 17:40:10.339] Set: 384 V,  HV: 412 V,  I: 3.20 mA
[2025-06-10 17:40:10.548] Set: 386 V,  HV: 420 V,  I: 3.23 mA
[2025-06-10 17:40:10.740] Set: 398 V,  HV: 410 V,  I: 3.18 mA
[2025-06-10 17:40:10.948] Set: 500 V,  HV: 395 V,  I: 2.72 mA
[2025-06-10 17:40:11.152] Set: 502 V,  HV: 402 V,  I: 2.71 mA
[2025-06-10 17:40:11.354] Set: 494 V,  HV: 387 V,  I: 2.74 mA
[2025-06-10 17:40:11.552] Set: 361 V,  HV: 347 V,  I: 3.18 mA
[2025-06-10 17:40:11.760] Set: 377 V,  HV: 359 V,  I: 3.29 mA
[2025-06-10 17:40:11.952] Set: 366 V,  HV: 343 V,  I: 3.24 mA
[2025-06-10 17:40:12.156] Set: 436 V,  HV: 410 V,  I: 3.13 mA
[2025-06-10 17:40:12.366] Set: 455 V,  HV: 406 V,  I: 3.07 mA
[2025-06-10 17:40:12.558] Set: 444 V,  HV: 405 V,  I: 3.11 mA
[2025-06-10 17:40:12.771] Set: 477 V,  HV: 341 V,  I: 2.89 mA
[2025-06-10 17:40:12.967] Set: 483 V,  HV: 356 V,  I: 2.86 mA
[2025-06-10 17:40:13.174] Set: 473 V,  HV: 342 V,  I: 2.92 mA
[2025-06-10 17:40:13.370] Set: 370 V,  HV: 358 V,  I: 3.40 mA
[2025-06-10 17:40:13.574] Set: 365 V,  HV: 347 V,  I: 3.40 mA
[2025-06-10 17:40:13.774] Set: 380 V,  HV: 354 V,  I: 3.37 mA
[2025-06-10 17:40:13.972] Set: 474 V,  HV: 393 V,  I: 3.02 mA
[2025-06-10 17:40:14.171] Set: 483 V,  HV: 406 V,  I: 3.03 mA
[2025-06-10 17:40:14.384] Set: 473 V,  HV: 387 V,  I: 2.97 mA
[2025-06-10 17:40:14.588] Set: 442 V,  HV: 337 V,  I: 2.97 mA
[2025-06-10 17:40:14.786] Set: 424 V,  HV: 353 V,  I: 3.05 mA
[2025-06-10 17:40:14.989] Set: 433 V,  HV: 346 V,  I: 3.02 mA
[2025-06-10 17:40:15.196] Set: 361 V,  HV: 366 V,  I: 3.33 mA
[2025-06-10 17:40:15.396] Set: 383 V,  HV: 388 V,  I: 3.29 mA
[2025-06-10 17:40:15.598] Set: 374 V,  HV: 376 V,  I: 3.31 mA
[2025-06-10 17:40:15.802] Set: 503 V,  HV: 401 V,  I: 2.87 mA
[2025-06-10 17:40:16.002] Set: 486 V,  HV: 394 V,  I: 2.80 mA
[2025-06-10 17:40:16.203] Set: 506 V,  HV: 403 V,  I: 2.82 mA
[2025-06-10 17:40:16.408] Set: 389 V,  HV: 357 V,  I: 3.14 mA
[2025-06-10 17:40:16.608] Set: 394 V,  HV: 352 V,  I: 3.11 mA
[2025-06-10 17:40:16.804] Set: 386 V,  HV: 360 V,  I: 3.15 mA
[2025-06-10 17:40:17.009] Set: 388 V,  HV: 411 V,  I: 3.20 mA
[2025-06-10 17:40:17.215] Set: 385 V,  HV: 420 V,  I: 3.23 mA
[2025-06-10 17:40:17.416] Set: 401 V,  HV: 405 V,  I: 3.17 mA
[2025-06-10 17:40:17.615] Set: 497 V,  HV: 397 V,  I: 2.72 mA
[2025-06-10 17:40:17.814] Set: 491 V,  HV: 371 V,  I: 2.79 mA
[2025-06-10 17:40:18.013] Set: 495 V,  HV: 387 V,  I: 2.74 mA
[2025-06-10 17:40:18.222] Set: 359 V,  HV: 348 V,  I: 3.20 mA
[2025-06-10 17:40:18.415] Set: 380 V,  HV: 363 V,  I: 3.29 mA
[2025-06-10 17:40:18.622] Set: 370 V,  HV: 348 V,  I: 3.26 mA
[2025-06-10 17:40:18.826] Set: 433 V,  HV: 412 V,  I: 3.13 mA
[2025-06-10 17:40:19.026] Set: 457 V,  HV: 404 V,  I: 3.06 mA
[2025-06-10 17:40:19.224] Set: 450 V,  HV: 404 V,  I: 3.10 mA
[2025-06-10 17:40:19.438] Set: 474 V,  HV: 339 V,  I: 2.90 mA
[2025-06-10 17:40:19.639] Set: 482 V,  HV: 355 V,  I: 2.87 mA
[2025-06-10 17:40:19.835] Set: 474 V,  HV: 340 V,  I: 2.93 mA
[2025-06-10 17:40:20.035] Set: 366 V,  HV: 357 V,  I: 3.40 mA
[2025-06-10 17:40:20.242] Set: 364 V,  HV: 347 V,  I: 3.41 mA
[2025-06-10 17:40:20.438] Set: 379 V,  HV: 357 V,  I: 3.36 mA
[2025-06-10 17:40:20.651] Set: 476 V,  HV: 393 V,  I: 3.00 mA
[2025-06-10 17:40:20.851] Set: 483 V,  HV: 404 V,  I: 3.01 mA
[2025-06-10 17:40:21.046] Set: 473 V,  HV: 388 V,  I: 2.96 mA
[2025-06-10 17:40:21.258] Set: 439 V,  HV: 334 V,  I: 2.98 mA
[2025-06-10 17:40:21.453] Set: 420 V,  HV: 349 V,  I: 3.04 mA
[2025-06-10 17:40:21.652] Set: 429 V,  HV: 344 V,  I: 3.02 mA
[2025-06-10 17:40:21.852] Set: 363 V,  HV: 370 V,  I: 3.32 mA
[2025-06-10 17:40:22.053] Set: 382 V,  HV: 395 V,  I: 3.27 mA
[2025-06-10 17:40:22.261] Set: 371 V,  HV: 381 V,  I: 3.30 mA
[2025-06-10 17:40:22.471] Set: 497 V,  HV: 394 V,  I: 2.73 mA
[2025-06-10 17:40:22.667] Set: 505 V,  HV: 406 V,  I: 2.76 mA
[2025-06-10 17:40:22.868] Set: 500 V,  HV: 398 V,  I: 2.73 mA
[2025-06-10 17:40:23.068] Set: 389 V,  HV: 358 V,  I: 3.12 mA
[2025-06-10 17:40:23.273] Set: 391 V,  HV: 354 V,  I: 3.12 mA
[2025-06-10 17:40:23.469] Set: 386 V,  HV: 361 V,  I: 3.15 mA
[2025-06-10 17:40:23.675] Set: 394 V,  HV: 411 V,  I: 3.18 mA
[2025-06-10 17:40:23.877] Set: 390 V,  HV: 420 V,  I: 3.20 mA
[2025-06-10 17:40:24.078] Set: 410 V,  HV: 403 V,  I: 3.16 mA
[2025-06-10 17:40:24.285] Set: 495 V,  HV: 388 V,  I: 2.74 mA
[2025-06-10 17:40:24.484] Set: 488 V,  HV: 366 V,  I: 2.80 mA
[2025-06-10 17:40:24.686] Set: 497 V,  HV: 377 V,  I: 2.77 mA
[2025-06-10 17:40:24.889] Set: 361 V,  HV: 348 V,  I: 3.24 mA
[2025-06-10 17:40:25.091] Set: 375 V,  HV: 362 V,  I: 3.32 mA
[2025-06-10 17:40:25.291] Set: 369 V,  HV: 347 V,  I: 3.29 mA
[2025-06-10 17:40:25.493] Set: 439 V,  HV: 407 V,  I: 3.10 mA
[2025-06-10 17:40:25.697] Set: 460 V,  HV: 402 V,  I: 3.05 mA
[2025-06-10 17:40:25.899] Set: 468 V,  HV: 393 V,  I: 3.04 mA
[2025-06-10 17:40:26.104] Set: 483 V,  HV: 360 V,  I: 2.84 mA
[2025-06-10 17:40:26.304] Set: 489 V,  HV: 371 V,  I: 2.81 mA
[2025-06-10 17:40:26.504] Set: 483 V,  HV: 351 V,  I: 2.86 mA
[2025-06-10 17:40:26.706] Set: 370 V,  HV: 356 V,  I: 3.36 mA
[2025-06-10 17:40:26.903] Set: 364 V,  HV: 347 V,  I: 3.32 mA
[2025-06-10 17:40:27.100] Set: 377 V,  HV: 353 V,  I: 3.40 mA
[2025-06-10 17:40:27.316] Set: 476 V,  HV: 400 V,  I: 3.03 mA
[2025-06-10 17:40:27.506] Set: 473 V,  HV: 398 V,  I: 2.99 mA
[2025-06-10 17:40:27.709] Set: 478 V,  HV: 393 V,  I: 3.02 mA
