Time,Temperature (C)
18:23:02,35.2
18:23:04,35.2
18:23:05,35.2
18:23:06,35.2
18:23:08,35.2
18:23:09,35.2
18:23:11,35.2
18:23:13,35.2
18:23:14,35.2
18:23:18,35.2
18:23:19,35.2
18:23:20,35.2
18:23:22,35.2
18:23:24,35.2
18:23:25,35.2
18:23:27,35.2
18:23:29,35.2
18:23:30,35.2
18:23:32,35.2
18:23:33,35.2
18:23:35,35.2
18:23:36,35.2
18:23:38,35.2
18:23:39,35.3
18:23:40,35.2
18:23:42,35.2
18:23:47,35.3
18:23:48,35.3
18:23:50,35.3
18:23:51,35.3
18:23:53,35.3
18:23:54,35.3
18:23:56,35.3
18:23:57,35.3
18:23:59,35.3
18:24:01,35.3
18:24:02,35.3
18:24:03,35.3
18:24:05,35.3
18:24:06,35.3
18:24:08,35.3
18:24:10,35.3
18:24:11,35.3
18:24:13,35.3
18:24:14,35.3
18:24:16,35.3
18:24:17,35.3
18:24:19,35.3
18:24:22,35.3
18:24:24,35.3
18:24:25,35.3
18:24:27,35.3
18:24:28,35.3
18:24:30,35.3
18:24:31,35.3
18:24:33,35.3
18:24:35,35.3
18:24:36,35.3
18:24:38,35.3
18:24:39,35.3
18:24:42,35.3
18:24:43,35.3
18:24:45,35.3
18:24:46,35.3
18:24:48,35.3
18:24:49,35.3
18:24:51,35.3
18:24:52,35.3
18:24:54,35.3
18:24:55,35.3
18:24:57,35.3
18:24:58,35.3
18:25:00,35.3
18:25:02,35.3
18:25:06,35.3
18:25:08,35.3
18:25:09,35.3
18:25:11,35.3
18:25:12,35.3
18:25:14,35.3
18:25:15,35.3
18:25:17,35.3
18:25:18,35.3
18:25:20,35.3
18:25:21,35.3
18:25:23,35.3
18:25:24,35.3
18:25:26,35.3
18:25:27,35.3
18:25:29,35.3
18:25:30,35.3
18:25:32,35.3
18:25:34,35.3
18:25:35,35.3
18:25:37,35.3
18:25:38,35.3
18:25:40,35.3
18:25:41,35.3
18:25:43,35.3
18:25:44,35.3
18:25:46,35.3
18:25:48,35.3
18:25:51,35.3
18:25:52,35.3
18:25:54,35.3
18:25:55,35.3
18:25:57,35.3
18:25:58,35.3
18:26:00,35.3
18:26:02,35.3
18:26:03,35.3
18:26:04,35.3
18:26:06,35.3
18:26:08,35.3
18:26:09,35.3
18:26:11,35.3
18:26:14,35.3
18:26:16,35.3
18:26:17,35.3
18:26:19,35.3
18:26:21,35.3
18:26:22,35.3
18:26:24,35.3
18:26:26,35.3
18:26:27,35.3
18:26:29,35.3
18:26:32,35.3
18:26:34,35.3
18:26:35,35.3
18:26:36,35.3
18:26:38,35.3
18:26:39,35.3
18:26:41,35.3
18:26:43,35.3
18:26:44,35.3
18:26:45,35.3
18:26:47,35.3
18:26:48,35.3
18:26:50,35.3
18:26:51,35.3
18:26:53,35.3
18:26:55,35.3
18:26:56,35.3
18:26:58,35.3
18:26:59,35.3
18:27:01,35.3
18:27:02,35.3
18:27:04,35.3
18:27:06,35.3
18:27:07,35.3
18:27:09,35.3
18:27:11,35.3
18:27:12,35.3
18:27:14,35.4
18:27:15,35.4
18:27:16,35.4
18:27:18,35.4
18:27:21,35.4
18:27:22,35.4
18:27:24,35.4
18:27:25,35.4
18:27:27,35.4
18:27:28,35.4
18:27:30,35.4
18:27:31,35.4
18:27:33,35.4
18:27:34,35.4
18:27:36,35.4
18:27:38,35.4
18:27:39,35.4
18:27:41,35.4
18:27:42,35.4
18:27:44,35.4
18:27:45,35.4
18:27:47,35.4
18:27:48,35.4
18:27:50,35.4
18:27:52,35.4
18:27:53,35.4
18:27:55,35.4
18:27:57,35.4
18:27:58,35.4
18:28:00,35.4
18:28:01,35.4
18:28:03,35.4
18:28:04,35.4
18:28:07,35.4
18:28:08,35.4
18:28:10,35.4
18:28:11,35.4
18:28:13,35.4
18:28:15,35.4
18:28:16,35.4
18:28:18,35.4
18:28:19,35.4
18:28:21,35.4
18:28:23,35.4
18:28:24,35.4
18:28:25,35.4
18:28:27,35.4
18:28:29,35.4
18:28:30,35.4
18:28:31,35.4
18:28:33,35.4
18:28:35,35.4
18:28:36,35.4
18:28:38,35.4
18:28:39,35.4
18:28:40,35.4
18:28:42,35.4
18:28:44,35.4
18:28:45,35.4
18:28:47,35.4
18:28:48,35.4
18:28:50,35.4
18:28:51,35.4
18:28:53,35.4
18:28:54,35.4
18:28:58,35.4
18:28:59,35.4
18:29:01,35.4
18:29:02,35.4
18:29:04,35.4
18:29:05,35.4
18:29:07,35.4
18:29:09,35.4
18:29:10,35.4
18:29:12,35.4
18:29:14,35.4
18:29:15,35.4
18:29:17,35.4
18:29:18,35.4
18:29:20,35.4
18:29:22,35.4
18:29:23,35.4
18:29:24,35.4
18:29:26,35.4
18:29:27,35.4
18:29:29,35.4
18:29:31,35.4
18:29:33,35.4
18:29:34,35.4
18:29:36,35.4
18:29:37,35.4
18:29:39,35.4
18:29:40,35.4
18:29:42,35.4
18:29:43,35.4
18:29:46,35.4
18:29:48,35.4
18:29:49,35.4
18:29:53,35.4
18:29:54,35.4
18:29:56,35.4
18:29:58,35.4
18:29:59,35.4
18:30:01,35.4
18:30:02,35.4
18:30:04,35.4
18:30:05,35.4
18:30:06,35.4
18:30:08,35.4
18:30:10,35.4
18:30:11,35.4
18:30:13,35.4
18:30:14,35.4
18:30:16,35.4
18:30:17,35.4
18:30:19,35.4
18:30:20,35.4
18:30:22,35.4
18:30:24,35.4
18:30:25,35.4
18:30:26,35.4
18:30:28,35.4
18:30:31,35.4
18:30:33,35.4
18:30:34,35.4
18:30:37,35.4
18:30:39,35.4
18:30:40,35.4
18:30:42,35.4
18:30:44,35.4
18:30:45,35.4
18:30:46,35.4
18:30:48,35.5
18:30:50,35.5
18:30:51,35.5
18:30:53,35.5
18:30:54,35.5
18:30:55,35.5
18:30:57,35.5
18:30:58,35.5
18:31:00,35.5
18:31:01,35.5
18:31:02,35.5
18:31:04,35.5
18:31:06,35.5
18:31:07,35.5
18:31:09,35.5
18:31:12,35.5
18:31:13,35.5
18:31:15,35.5
18:31:16,35.5
18:31:17,35.5
18:31:19,35.5
18:31:21,35.5
18:31:23,35.5
18:31:24,35.5
18:31:25,35.5
18:31:27,35.5
18:31:28,35.5
18:31:29,35.5
18:31:31,35.5
18:31:32,35.5
18:31:34,35.5
18:31:36,35.5
18:31:37,35.5
18:31:39,35.5
18:31:40,35.5
18:31:43,35.5
18:31:44,35.5
18:31:46,35.5
18:31:47,35.5
18:31:49,35.5
18:31:50,35.5
18:31:52,35.5
18:31:53,35.5
18:31:54,35.5
18:31:56,35.5
18:31:57,35.5
18:31:59,35.5
18:32:00,35.5
18:32:02,35.5
18:32:03,35.5
18:32:05,35.5
18:32:06,35.5
18:32:08,35.5
18:32:10,35.5
18:32:11,35.5
18:32:14,35.5
18:32:16,35.5
18:32:17,35.5
18:32:21,35.5
18:32:22,35.5
18:32:23,35.5
18:32:25,35.5
18:32:27,35.5
18:32:28,35.5
18:32:30,35.5
18:32:32,35.5
18:32:33,35.5
18:32:35,35.5
18:32:37,35.5
18:32:38,35.5
18:32:39,35.5
18:32:41,35.5
18:32:42,35.5
18:32:44,35.5
18:32:45,35.5
18:32:46,35.5
18:32:48,35.5
18:32:49,35.5
18:32:51,35.5
18:32:53,35.5
18:32:54,35.5
18:32:56,35.5
18:32:57,35.5
18:32:58,35.5
18:33:00,35.5
18:33:01,35.5
18:33:03,35.5
18:33:04,35.5
18:33:06,35.5
18:33:07,35.5
18:33:09,35.5
18:33:11,35.5
18:33:12,35.5
18:33:13,35.5
18:33:15,35.5
18:33:16,35.5
18:33:18,35.5
18:33:19,35.5
18:33:21,35.5
18:33:22,35.5
18:33:24,35.5
18:33:25,35.5
18:33:27,35.5
18:33:28,35.5
18:33:29,35.5
18:33:30,35.5
18:33:32,35.5
18:33:33,35.5
18:33:34,35.5
18:33:35,35.5
18:33:37,35.5
18:33:38,35.5
18:33:39,35.5
18:33:40,35.5
18:33:42,35.5
18:33:43,35.5
18:33:44,35.5
18:33:45,35.5
18:33:47,35.5
18:33:48,35.5
18:33:49,35.5
18:33:51,35.5
18:33:52,35.5
18:33:55,35.5
18:33:56,35.5
18:33:58,35.5
18:34:00,35.5
18:34:01,35.5
18:34:03,35.5
18:34:04,35.5
18:34:05,35.5
18:34:07,35.5
18:34:08,35.5
18:34:10,35.5
18:34:11,35.5
18:34:12,35.5
18:34:14,35.5
18:34:16,35.5
18:34:17,35.5
18:34:19,35.6
18:34:20,35.5
18:34:21,35.5
18:34:22,35.5
18:34:24,35.5
18:34:27,35.6
18:34:29,35.6
18:34:30,35.6
18:34:31,35.6
18:34:33,35.6
18:34:34,35.6
18:34:36,35.6
18:34:37,35.6
18:34:38,35.6
18:34:40,35.6
18:34:41,35.6
18:34:42,35.6
18:34:44,35.6
18:34:45,35.6
18:34:47,35.6
18:34:48,35.6
18:34:50,35.6
18:34:51,35.6
18:34:53,35.6
18:34:54,35.6
18:34:56,35.6
18:34:57,35.6
18:34:59,35.6
18:35:00,35.6
18:35:02,35.6
18:35:03,35.6
18:35:05,35.6
18:35:06,35.6
18:35:07,35.6
18:35:09,35.6
18:35:11,35.6
18:35:12,35.6
18:35:13,35.6
18:35:15,35.6
18:35:16,35.6
18:35:18,35.6
