Time,a0,a1,a2
11:20:14.169000,0.0,0.0,0.0
11:20:14.369000,0.0,0.0016666666666666666,0.0
11:20:14.579000,0.0,0.0,0.0
11:20:14.777000,0.0,0.0,0.0
11:20:14.981000,0.0,0.0,0.0
11:20:15.185000,0.0,0.0,0.0
11:20:15.386000,0.0,0.0,0.0
11:20:15.586000,0.0,0.0,0.0
11:20:15.792000,0.0,0.0,0.0
11:20:15.992000,0.0,0.0,0.0
11:20:16.193000,0.0,0.0,0.0
11:20:16.397000,0.0,0.0016666666666666666,0.0
11:20:16.596000,0.0016666666666666666,0.0,0.0
11:20:16.799000,0.0,0.0,0.0
11:20:17.003000,0.0,0.0,0.0
11:20:17.201000,0.0,0.0,0.0
11:20:17.400000,0.0,0.0,0.0
11:20:17.606000,0.0016666666666666666,0.0,0.0
11:20:17.809000,0.0,0.0016666666666666666,0.0
11:20:18.006000,0.0,0.0016666666666666666,0.0
11:20:18.207000,0.0,0.0,0.0
11:20:18.417000,0.0,0.0,0.0
11:20:18.611000,0.0,0.0,0.0
11:20:18.818000,0.0,0.0,0.0
11:20:19.023000,0.0,0.0,0.0
11:20:19.225000,0.0,0.0,0.0
11:20:19.417000,0.0,0.0,0.0
11:20:19.628000,0.0,0.0,0.0
11:20:19.830000,0.0,0.0,0.0
11:20:20.030000,0.0,0.0,0.0
11:20:20.235000,0.0,0.0,0.0
11:20:20.433000,0.0,0.0016666666666666666,0.0
11:20:20.638000,0.0,0.0,0.0
11:20:20.842000,0.0,0.0,0.0
11:20:21.042000,0.0,0.0,0.0
11:20:21.243000,0.0016666666666666666,0.0,0.0
11:20:21.445000,0.0,0.0,0.0
11:20:21.647000,0.0,0.0,0.0
11:20:21.847000,0.0,0.0,0.0
11:20:22.053000,0.0016666666666666666,0.0,0.0
11:20:22.251000,0.0,0.0,0.0
11:20:22.457000,0.0,0.0,0.0
11:20:22.659000,0.0,0.0,0.0
11:20:22.858000,0.0,0.0,0.0
11:20:23.062000,0.0016666666666666666,0.0,0.0
11:20:23.263000,0.0,0.0,0.0
11:20:23.467000,0.0,0.0,0.0
11:20:23.666000,0.0,0.0,0.0
11:20:23.873000,0.0,0.0,0.0
11:20:24.073000,0.0,0.0,0.0
11:20:24.273000,0.0,0.0,0.0
11:20:24.473000,0.0,0.0,0.0
11:20:24.673000,0.0,0.0,0.0
11:20:24.876000,0.0,0.0,0.0
11:20:25.081000,0.0,0.0,0.0
11:20:25.283000,0.0016666666666666666,0.0,0.0
11:20:25.484000,0.0,0.0,0.0
11:20:25.686000,0.0,0.0,0.0
11:20:25.892000,0.0,0.0,0.0
11:20:26.092000,0.0,0.0,0.0
11:20:26.289000,0.0,0.0016666666666666666,0.0
11:20:26.495000,0.0,0.0,0.0
11:20:26.689000,0.0,0.0,0.0
11:20:26.890000,0.0,0.0,0.0
11:20:27.100000,0.0,0.0,0.0
11:20:27.300000,0.0,0.0,0.0
11:20:27.506000,0.0016666666666666666,0.0016666666666666666,0.0
11:20:27.711000,0.0,0.0,0.0
