Time,Temperature (C)
14:36:51,19.5
14:36:52,19.5
14:36:53,19.5
14:36:55,19.5
14:36:56,19.5
14:36:57,19.5
14:36:58,19.5
14:36:59,19.5
14:37:00,19.5
14:37:02,19.5
14:37:03,19.5
14:37:04,19.6
14:37:05,19.6
14:37:06,19.6
14:37:07,19.6
14:37:09,19.6
14:37:10,19.6
14:37:11,19.6
14:37:12,19.6
14:37:13,19.6
14:37:14,19.6
14:37:16,19.6
14:37:17,19.6
14:37:18,19.6
14:37:19,19.6
14:37:20,19.6
14:37:21,19.6
14:37:23,19.6
14:37:24,19.6
14:37:25,19.6
14:37:26,19.6
14:37:27,19.6
14:37:28,19.6
14:37:30,19.6
14:37:31,19.6
14:37:32,19.6
14:37:33,19.6
14:37:34,19.6
14:37:35,19.6
14:37:37,19.6
14:37:38,19.6
14:37:39,19.6
14:37:40,19.7
14:37:41,19.7
14:37:42,19.7
14:37:44,19.7
14:37:45,19.7
14:37:46,19.7
14:37:47,19.7
14:37:48,19.7
14:37:49,19.7
14:37:51,19.7
14:37:52,19.7
14:37:53,19.7
14:37:54,19.7
14:37:55,19.7
14:37:56,19.7
14:37:58,19.7
14:37:59,19.7
14:38:00,19.7
14:38:01,19.7
14:38:02,19.7
14:38:03,19.7
14:38:05,19.7
14:38:06,19.7
14:38:07,19.7
14:38:08,19.7
14:38:09,19.7
14:38:10,19.7
14:38:11,19.7
14:38:13,19.7
14:38:14,19.7
14:38:15,19.7
14:38:16,19.7
14:38:17,19.8
14:38:18,19.8
14:38:20,19.8
14:38:21,19.8
14:38:22,19.8
14:38:23,19.8
14:38:24,19.8
14:38:25,19.8
14:38:26,19.8
14:38:28,19.8
14:38:29,19.8
14:38:30,19.8
14:38:31,19.8
14:38:32,19.8
14:38:33,19.8
14:38:35,19.8
14:38:36,19.8
14:38:37,19.8
14:38:38,19.8
14:38:39,19.8
14:38:40,19.8
14:38:41,19.8
14:38:43,19.8
14:38:44,19.8
14:38:45,19.8
14:38:46,19.8
14:38:47,19.8
14:38:48,19.8
14:38:49,19.8
14:38:51,19.8
14:38:52,19.8
14:38:53,19.8
14:38:54,19.8
14:38:55,19.8
14:38:56,19.8
14:38:58,19.8
14:38:59,19.9
14:39:00,19.9
14:39:01,19.9
14:39:02,19.9
14:39:03,19.9
14:39:05,19.9
14:39:06,19.9
14:39:07,19.9
14:39:08,19.9
14:39:09,19.9
14:39:10,19.9
14:39:11,19.9
14:39:13,19.9
14:39:14,19.9
14:39:15,19.9
14:39:16,19.9
14:39:17,19.9
14:39:18,19.9
14:39:19,19.9
14:39:21,19.9
14:39:22,19.9
14:39:23,19.9
14:39:24,19.9
14:39:25,19.9
14:39:26,19.9
14:39:28,19.9
14:39:29,19.9
14:39:30,19.9
14:39:31,19.9
14:39:32,19.9
14:39:33,19.9
14:39:35,19.9
14:39:36,19.9
14:39:37,19.9
14:39:38,19.9
14:39:39,19.9
14:39:40,19.9
14:39:42,19.9
14:39:43,19.9
14:39:44,19.9
14:39:45,19.9
14:39:46,19.9
14:39:47,19.9
14:39:49,19.9
14:39:50,19.9
14:39:51,19.9
14:39:52,19.9
14:39:53,19.9
14:39:54,19.9
14:39:56,19.9
14:39:57,20.0
14:39:58,19.9
14:39:59,19.9
14:40:00,19.9
14:40:01,19.9
14:40:03,19.9
14:40:04,20.0
14:40:05,20.0
14:40:06,20.0
14:40:07,20.0
14:40:08,20.0
14:40:09,20.0
14:40:11,20.0
14:40:12,20.0
14:40:13,20.0
14:40:14,20.0
14:40:15,20.0
14:40:16,20.0
14:40:18,20.0
14:40:19,20.0
14:40:20,20.0
14:40:21,20.0
14:40:22,20.0
14:40:23,20.0
14:40:24,20.0
14:40:26,20.0
14:40:27,20.0
14:40:28,20.0
14:40:29,20.0
14:40:30,20.0
14:40:31,20.0
14:40:33,20.0
14:40:34,20.0
14:40:35,20.0
14:40:36,20.0
14:40:37,20.0
14:40:38,20.0
14:40:39,20.0
14:40:41,20.0
14:40:42,20.0
14:40:43,20.0
14:40:44,20.0
14:40:45,20.0
14:40:46,20.0
14:40:47,20.0
14:40:49,20.0
14:40:50,20.0
14:40:51,20.0
14:40:52,20.0
14:40:53,20.0
14:40:55,20.0
14:40:56,20.0
14:40:57,20.0
14:40:58,20.0
14:40:59,20.0
14:41:00,20.0
14:41:02,20.0
14:41:03,20.0
14:41:04,20.0
14:41:05,20.0
14:41:06,20.0
14:41:07,20.0
14:41:09,20.0
14:41:10,20.0
14:41:11,20.0
14:41:12,20.0
14:41:13,20.0
14:41:14,20.0
14:41:16,20.0
14:41:17,20.0
14:41:18,20.0
14:41:19,20.0
14:41:20,20.0
14:41:21,20.0
14:41:22,20.0
14:41:24,20.0
14:41:25,20.0
14:41:26,20.0
14:41:27,20.0
14:41:28,20.0
14:41:29,20.1
14:41:30,20.1
14:41:32,20.1
14:41:33,20.1
14:41:34,20.0
14:41:35,20.1
14:41:36,20.1
14:41:37,20.1
14:41:39,20.0
14:41:40,20.1
14:41:41,20.1
14:41:42,20.1
14:41:43,20.1
14:41:44,20.1
14:41:45,20.1
14:41:47,20.1
14:41:48,20.1
14:41:49,20.1
14:41:50,20.1
14:41:51,20.1
14:41:52,20.1
14:41:53,20.1
14:41:55,20.1
14:41:56,20.1
14:41:57,20.1
14:41:58,20.1
14:41:59,20.1
14:42:00,20.1
14:42:01,20.1
14:42:03,20.1
14:42:04,20.1
14:42:05,20.1
14:42:06,20.1
14:42:07,20.1
14:42:08,20.1
14:42:10,20.1
14:42:11,20.1
14:42:12,20.1
14:42:13,20.1
14:42:14,20.1
14:42:15,20.1
14:42:16,20.1
14:42:18,20.1
14:42:19,20.1
14:42:20,20.1
14:42:21,20.1
14:42:22,20.1
14:42:23,20.1
14:42:25,20.1
14:42:26,20.1
14:42:27,20.1
14:42:28,20.1
14:42:29,20.1
14:42:30,20.1
14:42:31,20.1
14:42:33,20.1
14:42:34,20.1
14:42:35,20.1
14:42:36,20.1
14:42:37,20.1
14:42:38,20.1
14:42:40,20.1
14:42:41,20.1
14:42:42,20.1
14:42:43,20.1
14:42:44,20.1
14:42:45,20.1
14:42:47,20.1
14:42:48,20.1
14:42:49,20.1
14:42:50,20.1
14:42:51,20.1
14:42:52,20.1
14:42:54,20.1
14:42:55,20.1
14:42:56,20.1
14:42:57,20.1
14:42:58,20.1
14:42:59,20.1
14:43:01,20.1
14:43:02,20.1
14:43:03,20.1
14:43:04,20.1
14:43:05,20.1
14:43:06,20.1
14:43:07,20.1
14:43:09,20.1
14:43:10,20.1
14:43:11,20.1
14:43:12,20.1
14:43:13,20.1
14:43:14,20.1
14:43:16,20.1
14:43:17,20.1
14:43:18,20.1
14:43:19,20.1
14:43:20,20.1
14:43:21,20.1
14:43:22,20.1
14:43:24,20.1
14:43:25,20.1
14:43:26,20.1
14:43:27,20.1
14:43:28,20.1
14:43:30,20.1
14:43:31,20.1
14:43:32,20.1
14:43:33,20.1
14:43:34,20.1
14:43:35,20.1
14:43:36,20.1
14:43:38,20.1
14:43:39,20.1
14:43:40,20.1
14:43:41,20.1
14:43:42,20.1
14:43:43,20.1
14:43:45,20.1
14:43:46,20.1
14:43:47,20.1
14:43:48,20.1
14:43:49,20.1
14:43:50,20.1
14:43:51,20.1
14:43:53,20.1
14:43:54,20.1
14:43:55,20.1
14:43:56,20.1
14:43:57,20.1
14:43:58,20.1
14:44:00,20.1
14:44:01,20.1
14:44:02,20.1
14:44:03,20.1
14:44:04,20.1
14:44:05,20.1
14:44:07,20.1
14:44:08,20.1
14:44:09,20.1
14:44:10,20.1
14:44:11,20.1
14:44:12,20.1
14:44:14,20.1
14:44:15,20.1
14:44:16,20.1
14:44:17,20.1
14:44:18,20.2
14:44:19,20.1
14:44:20,20.1
14:44:22,20.1
14:44:23,20.2
14:44:24,20.2
14:44:25,20.2
14:44:26,20.1
14:44:27,20.2
14:44:29,20.2
14:44:30,20.2
14:44:31,20.1
14:44:32,20.2
14:44:33,20.2
14:44:34,20.2
14:44:35,20.1
14:44:37,20.2
14:44:38,20.2
14:44:39,20.2
14:44:40,20.1
14:44:41,20.2
14:44:43,20.2
14:44:44,20.2
14:44:45,20.2
14:44:46,20.2
14:44:47,20.2
14:44:48,20.2
14:44:49,20.2
14:44:51,20.2
14:44:52,20.2
14:44:53,20.2
14:44:54,20.2
14:44:55,20.2
14:44:56,20.2
14:44:58,20.2
14:44:59,20.2
14:45:00,20.2
14:45:01,20.2
14:45:02,20.2
14:45:03,20.2
14:45:05,20.2
14:45:06,20.2
14:45:07,20.2
14:45:08,20.2
14:45:09,20.2
14:45:10,20.2
14:45:11,20.2
14:45:13,20.2
14:45:14,20.2
14:45:15,20.2
14:45:16,20.2
14:45:17,20.2
14:45:18,20.2
14:45:20,20.2
14:45:21,20.2
14:45:22,20.2
14:45:23,20.2
14:45:24,20.2
14:45:25,20.2
14:45:26,20.2
14:45:28,20.2
14:45:29,20.2
14:45:30,20.2
14:45:31,20.2
14:45:32,20.2
14:45:33,20.2
14:45:35,20.2
14:45:36,20.2
14:45:37,20.2
14:45:38,20.2
14:45:39,20.2
14:45:40,20.2
14:45:42,20.2
14:45:43,20.2
14:45:44,20.2
14:45:45,20.2
14:45:46,20.2
14:45:47,20.2
14:45:48,20.2
14:45:50,20.2
14:45:51,20.2
14:45:52,20.2
14:45:53,20.2
14:45:54,20.2
14:45:55,20.2
14:45:57,20.2
14:45:58,20.2
14:45:59,20.2
14:46:00,20.2
14:46:01,20.2
14:46:02,20.2
14:46:04,20.2
14:46:05,20.2
14:46:06,20.2
14:46:07,20.2
14:46:08,20.2
14:46:09,20.2
14:46:11,20.2
14:46:12,20.2
14:46:13,20.2
14:46:14,20.2
14:46:15,20.2
14:46:16,20.2
14:46:18,20.2
14:46:19,20.2
14:46:20,20.2
14:46:21,20.2
14:46:22,20.2
14:46:23,20.2
14:46:25,20.2
14:46:26,20.2
14:46:27,20.2
14:46:28,20.2
14:46:29,20.2
14:46:30,20.2
14:46:31,20.2
14:46:33,20.2
14:46:34,20.2
14:46:35,20.2
14:46:36,20.2
14:46:37,20.2
14:46:38,20.2
14:46:40,20.2
14:46:41,20.2
14:46:42,20.2
14:46:43,20.2
14:46:44,20.2
14:46:45,20.2
14:46:47,20.2
14:46:48,20.2
14:46:49,20.2
14:46:51,20.2
14:46:52,20.2
14:46:54,20.2
14:46:55,20.2
14:46:56,20.2
14:46:57,20.2
14:46:58,20.2
14:46:59,20.2
14:47:01,20.2
14:47:02,20.2
14:47:03,20.2
14:47:04,20.2
14:47:05,20.2
14:47:06,20.2
14:47:07,20.2
14:47:09,20.2
14:47:10,20.2
14:47:11,20.2
14:47:12,20.2
14:47:13,20.2
14:47:15,20.2
14:47:16,20.2
14:47:17,20.2
14:47:18,20.2
14:47:19,20.2
14:47:20,20.2
14:47:21,20.2
14:47:23,20.2
14:47:24,20.2
14:47:25,20.2
14:47:26,20.2
14:47:27,20.2
14:47:28,20.2
14:47:30,20.2
14:47:31,20.2
14:47:32,20.2
14:47:33,20.2
14:47:34,20.2
14:47:35,20.2
14:47:37,20.2
14:47:38,20.2
14:47:39,20.2
14:47:40,20.2
14:47:41,20.2
14:47:42,20.2
14:47:44,20.2
14:47:45,20.2
14:47:46,20.2
14:47:47,20.2
14:47:48,20.2
14:47:49,20.2
14:47:51,20.2
14:47:52,20.2
14:47:53,20.2
14:47:54,20.2
14:47:55,20.2
14:47:56,20.2
14:47:58,20.2
14:47:59,20.2
14:48:00,20.2
14:48:01,20.2
14:48:02,20.2
14:48:03,20.2
14:48:04,20.2
14:48:06,20.2
14:48:07,20.2
14:48:08,20.2
14:48:09,20.2
14:48:10,20.2
14:48:11,20.2
14:48:13,20.2
14:48:14,20.2
14:48:15,20.2
14:48:16,20.2
14:48:17,20.2
14:48:18,20.2
14:48:19,20.2
14:48:21,20.2
14:48:22,20.2
14:48:23,20.2
14:48:24,20.2
14:48:25,20.2
14:48:26,20.2
14:48:28,20.2
14:48:29,20.2
14:48:30,20.2
14:48:31,20.2
14:48:32,20.2
14:48:33,20.2
14:48:34,20.2
14:48:36,20.2
14:48:37,20.2
14:48:38,20.2
14:48:39,20.2
14:48:40,20.2
14:48:41,20.2
14:48:43,20.2
14:48:44,20.2
14:48:45,20.2
14:48:46,20.2
14:48:47,20.2
14:48:48,20.2
14:48:50,20.2
14:48:51,20.2
14:48:52,20.2
14:48:53,20.2
14:48:54,20.2
14:48:55,20.2
14:48:56,20.2
14:48:58,20.2
14:48:59,20.2
14:49:00,20.2
14:49:01,20.2
14:49:02,20.2
14:49:03,20.2
14:49:05,20.2
14:49:06,20.2
14:49:07,20.2
14:49:08,20.2
14:49:09,20.2
14:49:10,20.2
14:49:12,20.2
14:49:13,20.2
14:49:14,20.2
14:49:15,20.2
14:49:16,20.2
14:49:17,20.2
14:49:19,20.2
14:49:20,20.2
14:49:21,20.2
14:49:22,20.2
14:49:23,20.2
14:49:24,20.2
14:49:26,20.2
14:49:27,20.2
14:49:28,20.2
14:49:29,20.2
14:49:30,20.2
14:49:31,20.2
14:49:33,20.2
14:49:34,20.2
14:49:35,20.2
14:49:36,20.2
14:49:37,20.2
14:49:38,20.2
14:49:39,20.2
14:49:41,20.2
14:49:42,20.2
14:49:43,20.2
14:49:44,20.2
14:49:45,20.2
14:49:47,20.2
14:49:48,20.2
14:49:49,20.2
14:49:50,20.2
14:49:51,20.2
14:49:52,20.2
14:49:53,20.2
14:49:55,20.2
14:49:56,20.2
14:49:57,20.2
14:49:58,20.2
14:49:59,20.2
14:50:00,20.2
14:50:02,20.2
14:50:03,20.2
14:50:04,20.2
14:50:05,20.2
14:50:06,20.2
14:50:07,20.2
14:50:08,20.2
14:50:10,20.2
14:50:11,20.2
14:50:12,20.2
14:50:13,20.2
14:50:14,20.2
14:50:15,20.2
14:50:17,20.2
14:50:18,20.2
14:50:19,20.2
14:50:20,20.2
14:50:21,20.2
14:50:22,20.2
14:50:23,20.2
14:50:25,20.2
14:50:26,20.2
14:50:27,20.2
14:50:28,20.2
14:50:29,20.2
14:50:30,20.2
14:50:32,20.2
14:50:33,20.2
14:50:34,20.2
14:50:35,20.2
14:50:36,20.2
14:50:37,20.2
14:50:38,20.2
14:50:40,20.2
14:50:41,20.2
14:50:42,20.2
14:50:43,20.2
14:50:44,20.2
14:50:45,20.2
14:50:46,20.2
14:50:48,20.2
14:50:49,20.2
14:50:50,20.2
14:50:51,20.2
14:50:52,20.2
14:50:53,20.2
14:50:55,20.2
14:50:56,20.2
14:50:57,20.2
14:50:58,20.2
14:50:59,20.2
14:51:00,20.2
14:51:02,20.2
14:51:03,20.2
14:51:04,20.2
14:51:05,20.2
14:51:06,20.2
14:51:07,20.2
14:51:09,20.2
