Time,PMON 1,PMON_2,PMON_3,PMON_4,PMON_5,PMON_6
18:23:02,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:03,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:03,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:04,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:05,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:05,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:06,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:07,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:07,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:08,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:09,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:09,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:10,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:10,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:11,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:12,34.96,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:12,34.95,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:13,34.95,DISCONNECTED,23.31,21.83,23.62,21.64
18:23:14,34.95,DISCONNECTED,23.29,21.83,23.62,21.64
18:23:14,34.95,DISCONNECTED,23.29,21.82,23.62,21.64
18:23:15,34.95,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:16,34.95,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:16,34.95,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:17,34.95,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:18,34.95,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:18,34.95,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:19,34.95,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:20,34.97,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:20,34.97,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:21,34.97,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:21,34.96,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:22,34.96,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:23,34.96,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:23,34.96,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:24,34.97,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:25,34.97,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:25,34.97,DISCONNECTED,23.29,21.82,23.62,21.65
18:23:26,34.97,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:27,34.97,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:27,34.97,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:28,34.98,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:29,34.98,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:29,34.98,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:30,34.98,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:31,34.98,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:31,34.98,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:32,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:33,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:33,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:34,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:34,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:35,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:36,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:36,34.98,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:37,34.98,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:38,34.98,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:38,34.98,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:39,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:40,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:40,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:41,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:42,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:42,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:43,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:44,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:44,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:45,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:46,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:46,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:47,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:47,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:48,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:49,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:49,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:50,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:51,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:51,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:52,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:53,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:53,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:54,35.00,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:55,35.00,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:55,35.00,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:56,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:56,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:57,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:58,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:58,34.98,DISCONNECTED,23.29,21.82,23.62,21.66
18:23:59,34.98,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:00,34.98,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:00,35.01,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:01,35.01,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:02,35.01,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:02,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:03,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:04,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:04,34.99,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:05,35.00,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:06,35.00,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:06,35.00,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:07,35.01,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:07,35.01,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:08,35.01,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:09,35.01,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:09,35.01,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:10,35.01,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:11,35.01,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:11,35.01,DISCONNECTED,23.29,21.82,23.62,21.66
18:24:12,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED
18:24:13,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED
18:24:13,35.01,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED
18:24:14,35.01,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED
18:24:15,35.01,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED
18:24:15,35.01,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED
18:24:16,35.01,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED
18:24:16,35.01,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED,DISCONNECTED
18:24:17,35.01,DISCONNECTED,23.30,DISCONNECTED,DISCONNECTED,DISCONNECTED
18:24:18,35.01,DISCONNECTED,23.30,21.82,23.59,DISCONNECTED
18:24:18,35.01,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:19,35.01,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:20,35.01,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:20,35.01,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:21,35.01,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:22,35.01,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:22,35.01,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:23,35.01,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:24,35.01,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:24,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:25,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:25,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:26,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:27,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:27,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:28,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:29,35.00,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:29,35.00,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:30,35.00,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:31,35.01,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:31,35.01,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:32,35.01,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:33,35.01,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:33,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:34,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:34,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:35,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:36,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:36,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:37,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:38,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:38,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:39,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:40,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:40,35.02,DISCONNECTED,23.30,21.82,23.59,21.64
18:24:41,35.02,DISCONNECTED,23.31,21.82,23.59,21.64
18:24:42,35.02,DISCONNECTED,23.31,21.84,23.59,21.64
18:24:42,35.02,DISCONNECTED,23.31,21.84,23.59,21.64
18:24:43,35.02,DISCONNECTED,23.31,21.84,23.59,21.66
18:24:44,35.02,DISCONNECTED,23.31,21.84,23.59,21.66
18:24:44,35.02,DISCONNECTED,23.31,21.84,23.59,21.66
18:24:45,35.02,DISCONNECTED,23.31,21.84,23.59,21.66
18:24:46,35.02,DISCONNECTED,23.31,21.84,23.59,21.66
18:24:46,35.02,DISCONNECTED,23.31,21.84,23.59,21.66
