Time,Current (mA)
17:40:26.706000,3.36
17:40:26.903000,3.32
17:40:27.100000,3.40
17:40:27.316000,3.03
17:40:27.506000,2.99
17:40:27.709000,3.02
17:40:27.922000,2.93
17:40:28.122000,3.00
17:40:28.318000,2.98
17:40:28.528000,3.37
17:40:28.724000,3.32
17:40:28.928000,3.33
17:40:29.132000,2.81
17:40:29.335000,2.83
17:40:29.529000,2.75
17:40:29.732000,3.12
17:40:29.941000,3.09
17:40:30.136000,3.13
17:40:30.338000,3.23
17:40:30.538000,3.23
17:40:30.737000,3.19
17:40:30.937000,2.72
17:40:31.143000,2.75
17:40:31.347000,2.73
17:40:31.552000,3.17
17:40:31.753000,3.27
17:40:31.951000,3.23
17:40:32.153000,3.07
17:40:32.352000,3.07
17:40:32.562000,3.06
17:40:32.771000,2.90
17:40:32.968000,2.87
17:40:33.169000,2.93
17:40:33.368000,3.40
17:40:33.575000,3.39
17:40:33.775000,3.36
17:40:33.978000,2.99
17:40:34.170000,2.88
17:40:34.381000,2.92
17:40:34.584000,3.01
17:40:34.786000,3.06
17:40:34.982000,3.05
17:40:35.187000,3.30
17:40:35.393000,3.25
17:40:35.578000,3.21
17:40:35.797000,2.81
17:40:35.998000,2.84
17:40:36.199000,2.75
17:40:36.402000,3.11
17:40:36.603000,3.09
17:40:36.804000,3.13
17:40:37.011000,3.22
17:40:37.197000,3.17
17:40:37.401000,3.18
17:40:37.619000,2.71
17:40:37.818000,2.76
17:40:38.018000,2.74
17:40:38.222000,3.19
17:40:38.419000,3.29
17:40:38.623000,3.25
17:40:38.827000,3.06
17:40:39.020000,3.05
17:40:39.229000,3.03
17:40:39.434000,2.92
17:40:39.623000,2.88
17:40:39.831000,2.95
17:40:40.037000,3.38
17:40:40.238000,3.39
17:40:40.438000,3.35
17:40:40.643000,2.96
17:40:40.841000,2.85
17:40:41.035000,2.88
17:40:41.253000,3.03
17:40:41.451000,3.08
17:40:41.651000,3.07
17:40:41.855000,3.22
17:40:42.060000,3.23
17:40:42.255000,3.19
17:40:42.456000,2.72
17:40:42.654000,2.72
17:40:42.863000,2.73
17:40:43.072000,3.17
17:40:43.271000,3.15
17:40:43.468000,3.22
17:40:43.677000,3.13
17:40:43.871000,3.06
17:40:44.071000,3.09
17:40:44.286000,2.81
17:40:44.481000,2.86
17:40:44.677000,2.84
17:40:44.885000,3.34
17:40:45.085000,3.41
17:40:45.288000,3.39
17:40:45.491000,2.99
17:40:45.687000,3.00
17:40:45.892000,2.96
17:40:46.100000,3.00
17:40:46.296000,2.98
17:40:46.497000,3.03
17:40:46.705000,3.31
17:40:46.905000,3.25
17:40:47.102000,3.28
17:40:47.311000,2.82
17:40:47.503000,2.72
17:40:47.705000,2.75
17:40:47.918000,3.09
17:40:48.118000,3.12
17:40:48.319000,3.12
17:40:48.524000,3.16
17:40:48.716000,3.17
17:40:48.917000,3.13
17:40:49.123000,2.75
17:40:49.327000,2.74
17:40:49.523000,2.81
17:40:49.735000,3.28
17:40:49.937000,3.23
17:40:50.137000,3.32
17:40:50.335000,3.06
17:40:50.533000,3.03
17:40:50.736000,3.04
17:40:50.947000,2.88
17:40:51.149000,2.93
17:40:51.349000,2.91
17:40:51.551000,3.34
17:40:51.756000,3.36
17:40:51.956000,3.31
17:40:52.157000,2.89
17:40:52.356000,2.92
17:40:52.561000,2.85
17:40:52.765000,3.04
17:40:52.968000,3.04
17:40:53.168000,3.08
17:40:53.368000,3.26
17:40:53.573000,3.21
17:40:53.769000,3.23
17:40:53.979000,2.74
17:40:54.171000,2.72
17:40:54.381000,2.72
17:40:54.586000,3.11
17:40:54.780000,3.15
17:40:54.983000,3.24
17:40:55.184000,3.20
17:40:55.389000,3.21
17:40:55.589000,3.17
17:40:55.798000,2.73
17:40:55.999000,2.72
17:40:56.193000,2.75
17:40:56.404000,3.21
17:40:56.599000,3.30
17:40:56.800000,3.26
17:40:57.002000,3.09
17:40:57.203000,3.07
17:40:57.407000,3.06
17:40:57.611000,2.82
17:40:57.808000,2.87
17:40:58.015000,2.85
17:40:58.218000,3.38
17:40:58.418000,3.40
17:40:58.618000,3.36
17:40:58.820000,2.98
17:40:59.021000,2.99
17:40:59.221000,2.91
17:40:59.432000,3.00
17:40:59.621000,2.98
17:40:59.831000,3.03
17:41:00.037000,3.30
17:41:00.234000,3.25
17:41:00.436000,3.27
17:41:00.636000,2.81
17:41:00.838000,2.74
17:41:01.038000,2.75
17:41:01.239000,3.13
17:41:01.450000,3.13
17:41:01.650000,3.16
17:41:01.851000,3.17
17:41:02.057000,3.18
17:41:02.252000,3.14
17:41:02.457000,2.75
17:41:02.661000,2.73
17:41:02.852000,2.80
17:41:03.068000,3.27
