Time,PMON 1 (C),PMON_2 (C),PMON_3 (C),PMON_4 (C),PMON_5 (C),PMON_6 (C)
13:35:47,None,None,None,None,None,None
13:35:47,None,None,None,None,None,None
13:35:48,None,None,None,None,None,None
13:35:48,None,None,None,None,None,None
13:35:49,21.19,None,None,None,None,None
13:35:49,21.19,None,None,None,None,None
13:35:50,21.19,None,None,None,None,None
13:35:50,21.19,None,None,None,None,None
13:35:51,21.19,None,None,None,None,None
13:35:51,21.19,None,None,None,None,None
13:35:52,21.18,None,None,None,None,None
13:35:52,21.18,None,None,None,None,None
13:35:53,21.18,None,None,None,None,None
13:35:53,21.18,None,None,None,None,None
13:35:54,21.18,None,None,None,None,None
13:35:55,21.18,None,None,None,None,None
13:35:55,21.18,None,None,None,None,None
13:35:56,21.19,None,None,None,None,None
13:35:56,21.19,None,None,None,None,None
13:35:57,21.19,None,None,None,None,None
13:35:57,21.19,None,None,None,None,None
13:35:58,21.19,None,None,None,None,None
13:35:58,21.19,None,None,None,None,None
13:35:59,21.19,None,None,None,None,None
13:35:59,21.19,None,None,None,None,None
13:36:00,21.19,None,None,None,None,None
13:36:00,21.19,None,None,None,None,None
13:36:01,21.18,None,None,None,None,None
13:36:01,21.18,None,None,None,None,None
13:36:02,21.18,None,None,None,None,None
13:36:03,21.19,None,None,None,None,None
13:36:03,21.19,None,None,None,None,None
13:36:04,21.19,None,None,None,None,None
13:36:04,21.19,None,None,None,None,None
13:36:05,21.19,None,None,None,None,None
13:36:05,21.19,None,None,None,None,None
13:36:06,21.20,None,None,None,None,None
13:36:06,21.20,None,None,None,None,None
13:36:07,21.20,None,None,None,None,None
13:36:07,21.20,None,None,None,None,None
13:36:08,21.19,None,None,None,None,None
13:36:08,21.19,None,None,None,None,None
13:36:09,21.19,None,None,None,None,None
13:36:09,21.19,None,None,None,None,None
13:36:10,21.19,None,None,None,None,None
13:36:11,21.19,None,None,None,None,None
13:36:11,21.19,None,None,None,None,None
13:36:12,21.19,None,None,None,None,None
13:36:12,21.18,None,None,None,None,None
13:36:13,21.18,None,None,None,None,None
13:36:13,21.18,None,None,None,None,None
13:36:14,21.18,None,None,None,None,None
13:36:14,21.19,None,None,None,None,None
13:36:15,21.19,None,None,None,None,None
13:36:15,21.19,None,None,None,None,None
13:36:16,21.19,None,None,None,None,None
13:36:16,21.19,None,None,None,None,None
13:36:17,21.19,None,None,None,None,None
13:36:18,21.20,None,None,None,None,None
13:36:18,21.20,None,None,None,None,None
13:36:19,21.20,None,None,None,None,None
13:36:19,21.18,None,None,None,None,None
13:36:20,21.18,None,None,None,None,None
13:36:20,21.18,None,None,None,None,None
13:36:21,21.20,None,None,None,None,None
13:36:21,21.20,None,None,None,None,None
13:36:22,21.20,None,None,None,None,None
13:36:22,21.19,None,None,None,None,None
