Time,Current (mA)
15:51:47.601,3.72
15:51:47.601,3.87
15:51:47.601,3.72
15:51:47.601,3.87
15:51:47.601,3.60
15:51:47.601,3.72
15:51:47.601,3.87
15:51:47.601,3.60
15:51:49.958,3.30
15:51:50.163,2.91
15:51:50.375,2.69
15:51:50.558,3.05
15:51:50.770,2.52
15:51:50.981,0.95
15:51:51.178,0.76
15:51:51.379,1.14
15:51:51.579,3.21
15:51:51.778,4.35
15:51:51.985,3.62
15:51:52.181,2.55
15:51:52.377,2.15
15:51:52.591,2.36
15:51:52.796,1.11
15:51:52.996,1.44
15:51:53.195,1.22
15:51:53.395,5.03
15:51:53.600,4.66
15:51:53.800,4.95
15:51:53.996,2.00
15:51:54.200,2.08
15:51:54.395,1.99
15:51:54.614,1.72
15:51:54.806,1.54
15:51:55.016,1.82
15:51:55.220,4.98
15:51:55.421,4.67
15:51:55.622,4.85
15:51:55.828,1.73
15:51:56.027,1.53
15:51:56.225,1.65
15:51:56.433,2.34
15:51:56.633,2.23
15:51:56.833,2.36
15:51:57.035,3.53
15:51:57.231,3.68
15:51:57.441,3.47
15:51:57.645,1.37
15:51:57.846,1.46
15:51:58.046,1.20
15:51:58.245,2.38
15:51:58.441,2.49
15:51:58.646,2.44
15:51:58.857,3.44
15:51:59.044,3.22
15:51:59.259,3.38
15:51:59.462,1.17
15:51:59.664,0.63
15:51:59.865,0.96
15:52:00.063,2.77
15:52:00.269,2.58
15:52:00.471,3.20
15:52:00.664,2.67
15:52:00.876,3.03
15:52:01.078,2.47
15:52:01.273,1.01
15:52:01.483,1.38
15:52:01.680,1.20
15:52:01.879,3.33
15:52:02.079,4.60
15:52:02.290,3.86
15:52:02.489,2.40
15:52:02.696,2.07
15:52:02.894,2.22
15:52:03.101,1.75
15:52:03.293,1.58
15:52:03.496,1.85
15:52:03.707,4.90
15:52:03.908,5.03
15:52:04.101,4.79
15:52:04.310,2.01
15:52:04.513,2.01
15:52:04.714,1.93
15:52:04.909,1.89
15:52:05.118,2.04
15:52:05.312,1.99
15:52:05.525,4.77
15:52:05.711,4.24
15:52:05.923,4.50
15:52:06.132,1.56
15:52:06.316,1.67
15:52:06.529,1.47
15:52:06.726,2.22
15:52:06.935,2.13
15:52:07.123,2.30
15:52:07.343,3.68
15:52:07.541,3.83
15:52:07.732,3.56
15:52:07.950,1.45
15:52:08.147,1.12
15:52:08.348,1.37
15:52:08.544,2.31
15:52:08.749,2.45
15:52:08.954,2.39
15:52:09.152,3.51
15:52:09.360,3.35
15:52:09.558,3.02
15:52:09.761,1.33
15:52:09.954,1.44
15:52:10.163,1.11
15:52:10.371,2.40
15:52:10.568,2.33
15:52:10.773,2.48
15:52:10.966,3.42
15:52:11.178,3.15
15:52:11.379,3.34
15:52:11.583,1.03
15:52:11.784,0.74
15:52:11.986,0.73
15:52:12.184,2.48
15:52:12.384,2.63
15:52:12.591,2.52
15:52:12.795,2.57
15:52:12.995,2.90
15:52:13.197,2.39
15:52:13.402,1.14
15:52:13.603,0.79
15:52:13.799,1.26
15:52:14.004,3.66
15:52:14.208,3.05
15:52:14.409,4.18
15:52:14.614,2.30
15:52:14.815,2.01
15:52:15.016,2.15
15:52:15.220,1.35
15:52:15.414,1.67
15:52:15.618,1.49
15:52:15.818,4.81
15:52:16.028,4.99
15:52:16.218,4.68
15:52:16.433,1.95
15:52:16.628,1.98
15:52:16.829,1.87
15:52:17.033,1.97
15:52:17.233,1.85
15:52:17.431,2.06
15:52:17.645,4.61
15:52:17.838,3.92
15:52:18.042,4.22
15:52:18.251,1.82
15:52:18.447,1.61
15:52:18.646,1.72
15:52:18.847,2.04
15:52:19.051,2.20
15:52:19.254,2.35
15:52:19.460,4.27
15:52:19.661,4.48
15:52:19.861,3.86
15:52:20.062,1.65
15:52:20.259,1.78
15:52:20.468,1.56
15:52:20.665,2.18
15:52:20.872,2.29
15:52:21.070,2.21
15:52:21.278,3.80
15:52:21.479,3.53
15:52:21.679,3.68
15:52:21.878,1.52
15:52:22.079,1.35
15:52:22.280,1.45
15:52:22.488,2.47
15:52:22.685,2.39
15:52:22.892,2.51
15:52:23.097,3.30
15:52:23.296,3.41
15:52:23.495,3.14
15:52:23.703,0.71
15:52:23.896,1.02
15:52:24.097,0.72
15:52:24.302,2.58
15:52:24.510,3.03
15:52:24.701,2.63
15:52:24.913,3.09
15:52:25.114,2.55
15:52:25.317,2.89
15:52:25.508,1.31
15:52:25.715,1.14
15:52:25.912,1.48
15:52:26.118,4.32
15:52:26.322,3.64
15:52:26.513,4.85
15:52:26.723,2.15
15:52:26.928,2.30
15:52:27.121,2.01
15:52:27.340,1.51
15:52:27.540,1.81
15:52:27.734,1.65
15:52:27.945,5.01
15:52:28.143,4.84
15:52:28.344,5.00
15:52:28.551,2.01
15:52:28.747,1.99
15:52:28.945,2.01
15:52:29.159,2.02
15:52:29.355,1.93
15:52:29.556,2.06
15:52:29.764,4.34
15:52:29.965,4.74
15:52:30.162,4.20
15:52:30.363,1.77
15:52:30.567,1.58
15:52:30.768,1.69
15:52:30.967,2.07
15:52:31.173,2.20
15:52:31.374,2.11
15:52:31.566,4.25
15:52:31.774,3.73
15:52:31.968,3.86
15:52:32.190,1.40
15:52:32.382,1.50
15:52:32.575,1.31
15:52:32.784,2.34
15:52:32.992,2.25
15:52:33.184,2.39
15:52:33.391,3.51
15:52:33.584,3.63
15:52:33.796,3.43
15:52:34.004,1.34
15:52:34.201,0.77
15:52:34.400,1.12
15:52:34.606,2.38
15:52:34.798,2.48
15:52:35.010,2.44
15:52:35.214,3.07
15:52:35.405,3.27
15:52:35.613,2.85
15:52:35.822,0.74
15:52:36.016,0.75
15:52:36.222,0.77
15:52:36.428,2.62
15:52:36.627,2.51
15:52:36.830,2.79
15:52:37.021,3.02
15:52:37.235,2.47
15:52:37.436,2.75
15:52:37.627,0.75
15:52:37.838,1.15
15:52:38.043,0.79
15:52:38.246,2.64
15:52:38.442,3.48
15:52:38.634,4.59
15:52:38.847,3.02
15:52:39.050,3.22
15:52:39.242,2.79
15:52:39.450,0.76
15:52:39.659,0.75
15:52:39.847,0.78
15:52:40.055,2.62
15:52:40.262,3.33
15:52:40.461,2.72
15:52:40.660,3.04
15:52:40.857,2.51
15:52:41.060,2.85
15:52:41.269,0.72
15:52:41.475,1.06
15:52:41.675,0.81
15:52:41.882,3.93
15:52:42.078,3.18
15:52:42.274,4.27
15:52:42.485,2.32
15:52:42.684,2.59
15:52:42.885,2.21
15:52:43.091,1.24
15:52:43.285,0.96
15:52:43.490,1.33
15:52:43.686,3.70
15:52:43.892,4.81
15:52:44.086,4.05
15:52:44.293,2.41
15:52:44.501,2.09
15:52:44.704,2.30
15:52:44.901,1.67
15:52:45.108,1.47
15:52:45.301,1.74
15:52:45.509,5.03
15:52:45.718,4.57
15:52:45.909,4.98
15:52:46.123,2.01
15:52:46.310,2.14
15:52:46.519,2.01
15:52:46.726,1.62
15:52:46.917,1.87
15:52:47.124,1.71
15:52:47.336,5.03
15:52:47.525,4.83
15:52:47.736,4.99
15:52:47.938,2.02
15:52:48.132,2.01
15:52:48.326,1.84
15:52:48.545,1.58
15:52:48.736,1.35
15:52:48.945,1.65
15:52:49.153,4.92
15:52:49.344,4.18
15:52:49.552,5.02
15:52:49.760,2.04
15:52:49.953,1.99
15:52:50.143,2.02
15:52:50.367,1.53
15:52:50.559,1.81
15:52:50.752,1.63
